date,region,units,revenue
2025-11-15,North,133,1282.09
2025-11-16,North,147,1335.27
2025-11-17,North,134,1311.11
2025-11-18,North,145,1349.48
2025-11-19,North,153,1402.06
2025-11-20,North,138,1398.73
2025-11-21,North,136,1483.37
2025-11-22,North,143,1452.71
2025-11-23,North,141,1451.49
2025-11-24,North,133,1283.09
2025-11-25,North,145,1470.63
2025-11-26,North,158,1659.71
2025-11-27,North,140,1425.0
2025-11-28,North,141,1495.38
2025-11-29,North,135,1363.63
2025-11-30,North,146,1371.86
2025-12-01,North,134,1362.17
2025-12-02,North,135,1347.55
2025-12-03,North,155,1446.44
2025-12-04,North,137,1402.65
2025-12-05,North,154,1637.62
2025-12-06,North,158,1464.69
2025-12-07,North,148,1493.3
2025-12-08,North,151,1580.57
2025-12-09,North,163,1598.38
2025-12-10,North,146,1392.85
2025-12-11,North,143,1393.47
2025-12-12,North,138,1391.51
2025-12-13,North,149,1545.62
2025-12-14,North,161,1629.05
2025-12-15,North,158,1455.82
2025-12-16,North,143,1520.92
2025-12-17,North,144,1562.07
2025-12-18,North,148,1361.98
2025-12-19,North,155,1472.35
2025-12-20,North,151,1411.45
2025-12-21,North,155,1658.24
2025-12-22,North,156,1688.01
2025-12-23,North,152,1381.46
2025-12-24,North,155,1498.05
2025-12-25,North,157,1473.44
2025-12-26,North,156,1550.49
2025-12-27,North,161,1745.75
2025-12-28,North,173,1581.28
2025-12-29,North,163,1522.84
2025-12-30,North,159,1585.88
2025-12-31,North,146,1467.02
2025-01-01,South,72,665.13
2025-01-02,South,100,1050.0
2025-01-03,South,93,920.55
2025-01-04,South,101,938.79
2025-01-05,South,108,1082.9
2025-01-06,South,93,892.24
2025-01-07,South,79,797.79
2025-01-08,South,87,912.41
2025-01-09,South,85,910.66
2025-01-10,South,92,838.86
2025-01-11,South,97,987.92
2025-01-12,South,81,888.35
2025-01-13,South,100,991.96
2025-01-14,South,86,906.37
2025-01-15,South,101,928.65
2025-01-16,South,98,1053.21
2025-01-17,South,97,985.92
2025-01-18,South,100,1077.65
2025-01-19,South,96,1015.13
2025-01-20,South,96,1030.89
2025-01-21,South,88,802.08
2025-01-22,South,102,1063.97
2025-01-23,South,117,1099.09
2025-01-24,South,119,1134.26
2025-01-25,South,114,1100.05
2025-01-26,South,110,1120.09
2025-01-27,South,99,1015.32
2025-01-28,South,117,1270.96
2025-01-29,South,105,947.67
2025-01-30,South,105,985.62
2025-01-31,South,104,1011.3
2025-02-01,South,107,1138.05
2025-02-02,South,103,1040.28
2025-02-03,South,107,1072.57
2025-02-04,South,99,1041.52
2025-02-05,South,105,1082.56
2025-02-06,South,126,1207.04
2025-02-07,South,108,990.82
2025-02-08,South,107,1061.93
2025-02-09,South,113,1215.92
2025-02-10,South,115,1172.57
2025-02-11,South,100,910.66
2025-02-12,South,108,1067.06
2025-02-13,South,117,1143.0
2025-02-14,South,112,1138.46
2025-02-15,South,111,1129.34
2025-02-16,South,122,1330.13
2025-02-17,South,105,1016.0
2025-02-18,South,111,1089.6
2025-02-19,South,106,1084.06
2025-02-20,South,122,1314.28
2025-02-21,South,95,989.17
2025-02-22,South,105,1043.89
2025-02-23,South,106,1126.69
2025-02-24,South,116,1156.59
2025-02-25,South,115,1256.61
2025-02-26,South,121,1157.36
2025-02-27,South,98,906.97
2025-02-28,South,116,1236.65
2025-03-01,South,108,1036.22
2025-03-02,South,104,1112.26
2025-03-03,South,114,1164.94
2025-03-04,South,102,1021.83
2025-03-05,South,93,853.19
2025-03-06,South,106,1120.7
2025-03-07,South,97,885.79
2025-03-08,South,104,1136.75
2025-03-09,South,111,1193.69
2025-03-10,South,111,1066.26
2025-03-11,South,121,1119.94
2025-03-12,South,106,1141.76
2025-03-13,South,95,946.17
2025-03-14,South,101,934.22
2025-03-15,South,99,989.71
2025-03-16,South,97,920.88
2025-03-17,South,110,1079.72
2025-03-18,South,101,1038.33
2025-03-19,South,90,974.77
2025-03-20,South,111,1176.81
2025-03-21,South,104,969.49
2025-03-22,South,107,1065.15
2025-03-23,South,105,1048.3
2025-03-24,South,109,1196.71
2025-03-25,South,104,954.07
2025-03-26,South,113,1132.43
2025-03-27,South,106,1147.84
2025-03-28,South,105,1028.76
2025-03-29,South,105,999.96
2025-03-30,South,90,910.07
2025-03-31,South,100,964.02
2025-04-01,South,98,1063.71
2025-04-02,South,102,935.3
2025-04-03,South,89,837.79
2025-04-04,South,112,1026.79
2025-04-05,South,100,1042.38
2025-04-06,South,89,853.18
2025-04-07,South,84,907.23
2025-04-08,South,95,1024.79
2025-04-09,South,97,1054.66
2025-04-10,South,91,865.62
2025-04-11,South,97,873.13
2025-04-12,South,91,889.54
2025-04-13,South,100,1092.51
2025-04-14,South,90,947.47
2025-04-15,South,95,866.34
2025-04-16,South,103,1071.73
2025-04-17,South,115,1245.92
2025-04-18,South,86,940.45
2025-04-19,South,90,938.88
2025-04-20,South,87,933.16
2025-04-21,South,99,1057.66
2025-04-22,South,84,816.2
2025-04-23,South,89,818.63
2025-04-24,South,92,961.85
2025-04-25,South,84,779.0
2025-04-26,South,84,820.55
2025-04-27,South,88,967.25
2025-04-28,South,74,748.85
2025-04-29,South,79,793.43
2025-04-30,South,88,958.83
2025-05-01,South,92,880.26
2025-05-02,South,89,978.9
2025-05-03,South,76,822.62
2025-05-04,South,86,836.59
2025-05-05,South,96,926.83
2025-05-06,South,94,869.79
2025-05-07,South,89,963.98
2025-05-08,South,83,777.84
2025-05-09,South,95,856.71
2025-05-10,South,85,916.31
2025-05-11,South,80,815.7
2025-05-12,South,83,858.53
2025-05-13,South,101,1057.09
2025-05-14,South,92,835.85
2025-05-15,South,99,909.19
2025-05-16,South,86,859.97
2025-05-17,South,97,882.75
2025-05-18,South,85,850.73
2025-05-19,South,89,932.07
2025-05-20,South,110,1134.63
2025-05-21,South,97,992.63
2025-05-22,South,87,791.07
2025-05-23,South,90,852.6
2025-05-24,South,94,1014.73
2025-05-25,South,101,933.89
2025-05-26,South,88,885.85
2025-05-27,South,78,709.81
2025-05-28,South,90,979.06
2025-05-29,South,92,859.57
2025-05-30,South,94,923.08
2025-05-31,South,104,1049.73
2025-06-01,South,96,1001.98
2025-06-02,South,100,1087.49
2025-06-03,South,85,890.18
2025-06-04,South,101,979.17
2025-06-05,South,112,1024.88
2025-06-06,South,101,1051.9
2025-06-07,South,98,1072.61
2025-06-08,South,97,876.3
2025-06-09,South,111,1170.98
2025-06-10,South,90,841.71
2025-06-11,South,97,962.23
2025-06-12,South,102,1024.62
2025-06-13,South,105,1074.03
2025-06-14,South,96,1053.99
2025-06-15,South,102,1058.23
2025-06-16,South,98,958.91
2025-06-17,South,102,1063.86
2025-06-18,South,100,993.35
2025-06-19,South,93,913.84
2025-06-20,South,102,992.59
2025-06-21,South,110,1098.55
2025-06-22,South,96,917.99
2025-06-23,South,102,967.39
2025-06-24,South,110,1022.66
2025-06-25,South,97,958.4
2025-06-26,South,107,1025.76
2025-06-27,South,98,1046.04
2025-06-28,South,116,1240.71
2025-06-29,South,126,1220.66
2025-06-30,South,125,1279.79
2025-07-01,South,107,1156.09
2025-07-02,South,116,1127.33
2025-07-03,South,111,1122.15
2025-07-04,South,112,1107.36
2025-07-05,South,124,1277.27
2025-07-06,South,102,1113.79
2025-07-07,South,121,1122.55
2025-07-08,South,113,1235.18
2025-07-09,South,125,1291.43
2025-07-10,South,116,1228.64
2025-07-11,South,110,1129.73
2025-07-12,South,118,1267.39
2025-07-13,South,122,1177.6
2025-07-14,South,117,1218.68
2025-07-15,South,122,1162.44
2025-07-16,South,114,1141.97
2025-07-17,South,102,1057.02
2025-07-18,South,127,1194.09
2025-07-19,South,126,1149.41
2025-07-20,South,122,1290.99
2025-07-21,South,122,1295.38
2025-07-22,South,130,1343.07
2025-07-23,South,118,1137.86
2025-07-24,South,117,1207.01
2025-07-25,South,122,1118.47
2025-07-26,South,133,1373.23
2025-07-27,South,113,1147.22
2025-07-28,South,134,1371.41
2025-07-29,South,120,1187.28
2025-07-30,South,116,1096.24
2025-07-31,South,136,1421.44
2025-08-01,South,125,1241.03
2025-08-02,South,116,1216.93
2025-08-03,South,124,1206.32
2025-08-04,South,135,1238.7
2025-08-05,South,137,1381.63
2025-08-06,South,124,1270.44
2025-08-07,South,131,1420.51
2025-08-08,South,134,1443.92
2025-08-09,South,123,1121.06
2025-08-10,South,132,1391.77
2025-08-11,South,129,1228.43
2025-08-12,South,125,1299.3
2025-08-13,South,126,1229.63
2025-08-14,South,130,1253.74
2025-08-15,South,130,1296.95
2025-08-16,South,125,1257.63
2025-08-17,South,127,1319.4
2025-08-18,South,139,1428.33
2025-08-19,South,132,1367.06
2025-08-20,South,137,1338.24
2025-08-21,South,140,1449.66
2025-08-22,South,135,1308.25
2025-08-23,South,149,1522.04
2025-08-24,South,124,1229.96
2025-08-25,South,137,1387.21
2025-08-26,South,128,1156.49
2025-08-27,South,145,1449.65
2025-08-28,South,144,1359.35
2025-08-29,South,115,1123.74
2025-08-30,South,122,1116.0
2025-08-31,South,135,1392.36
2025-09-01,South,136,1467.04
2025-09-02,South,136,1320.45
2025-09-03,South,129,1188.11
2025-09-04,South,133,1361.99
2025-09-05,South,134,1240.05
2025-09-06,South,128,1380.26
2025-09-07,South,137,1266.55
2025-09-08,South,110,1069.61
2025-09-09,South,133,1328.58
2025-09-10,South,120,1108.29
2025-09-11,South,135,1301.06
2025-09-12,South,126,1203.37
2025-09-13,South,120,1251.19
2025-09-14,South,130,1426.43
2025-09-15,South,119,1157.36
2025-09-16,South,119,1259.19
2025-09-17,South,113,1048.72
2025-09-18,South,125,1269.98
2025-09-19,South,129,1272.64
2025-09-20,South,133,1273.66
2025-09-21,South,123,1309.14
2025-09-22,South,132,1385.06
2025-09-23,South,124,1149.23
2025-09-24,South,122,1169.35
2025-09-25,South,127,1351.15
2025-09-26,South,131,1439.02
2025-09-27,South,119,1216.55
2025-09-28,South,120,1289.21
2025-09-29,South,120,1316.21
2025-09-30,South,121,1268.21
2025-10-01,South,113,1162.71
2025-10-02,South,128,1208.64
2025-10-03,South,116,1129.94
2025-10-04,South,123,1260.39
2025-10-05,South,112,1215.51
2025-10-06,South,121,1162.05
2025-10-07,South,121,1184.64
2025-10-08,South,114,1031.07
2025-10-09,South,133,1382.33
2025-10-10,South,120,1186.46
2025-10-11,South,131,1388.01
2025-10-12,South,124,1173.95
2025-10-13,South,110,1135.12
2025-10-14,South,112,1158.77
2025-10-15,South,118,1171.58
2025-10-16,South,115,1078.38
2025-10-17,South,115,1127.67
2025-10-18,South,112,1174.89
2025-10-19,South,99,928.46
2025-10-20,South,111,1018.99
2025-10-21,South,95,942.93
2025-10-22,South,116,1098.41
2025-10-23,South,107,1134.32
2025-10-24,South,106,1127.26
2025-10-25,South,110,1197.96
2025-10-26,South,114,1217.47
2025-10-27,South,100,1029.49
2025-10-28,South,97,909.29
2025-10-29,South,102,1085.89
2025-10-30,South,94,982.88
2025-10-31,South,103,1080.85
2025-11-01,South,123,1278.57
2025-11-02,South,102,1087.32
2025-11-03,South,115,1103.5
2025-11-04,South,99,1024.15
2025-11-05,South,112,1123.87
2025-11-06,South,107,1035.3
2025-11-07,South,109,1052.25
2025-11-08,South,114,1061.45
2025-11-09,South,124,1237.9
2025-11-10,South,111,1080.86
2025-11-11,South,111,1092.58
2025-11-12,South,102,1091.74
2025-11-13,South,114,1181.38
2025-11-14,South,108,1118.93
2025-11-15,South,117,1283.27
2025-11-16,South,110,1037.92
2025-11-17,South,124,1241.96
2025-11-18,South,94,863.39
2025-11-19,South,108,1056.84
2025-11-20,South,118,1286.28
2025-11-21,South,108,990.56
2025-11-22,South,105,1104.12
2025-11-23,South,109,1169.66
2025-11-24,South,100,1001.79
2025-11-25,South,113,1197.26
2025-11-26,South,131,1294.55
2025-11-27,South,121,1174.51
2025-11-28,South,104,1041.19
2025-11-29,South,106,995.29
2025-11-30,South,110,1057.65
2025-12-01,South,122,1172.51
2025-12-02,South,107,1174.52
2025-12-03,South,109,1054.07
2025-12-04,South,122,1153.84
2025-12-05,South,122,1327.3
2025-12-06,South,113,1048.32
2025-12-07,South,107,1169.68
2025-12-08,South,104,1113.49
2025-12-09,South,111,1142.65
2025-12-10,South,100,985.56
2025-12-11,South,124,1164.92
2025-12-12,South,113,1041.0
2025-12-13,South,123,1132.5
2025-12-14,South,134,1299.57
2025-12-15,South,129,1266.04
2025-12-16,South,111,1204.06
2025-12-17,South,128,1289.27
2025-12-18,South,131,1438.55
2025-12-19,South,116,1211.25
2025-12-20,South,115,1068.65
2025-12-21,South,122,1233.07
2025-12-22,South,111,1034.38
2025-12-23,South,136,1234.66
2025-12-24,South,106,1154.08
2025-12-25,South,117,1132.06
2025-12-26,South,124,1163.02
2025-12-27,South,125,1150.45
2025-12-28,South,129,1329.25
2025-12-29,South,130,1289.9
2025-12-30,South,127,1145.97
2025-12-31,South,139,1449.82
2025-01-01,East,151,1581.4
2025-01-02,East,154,1488.51
2025-01-03,East,140,1389.6
2025-01-04,East,145,1547.04
2025-01-05,East,145,1408.62
2025-01-06,East,159,1687.09
2025-01-07,East,167,1764.19
2025-01-08,East,161,1599.91
2025-01-09,East,152,1640.55
2025-01-10,East,167,1631.43
2025-01-11,East,144,1511.98
2025-01-12,East,169,1737.24
2025-01-13,East,152,1468.7
2025-01-14,East,136,1368.65
2025-01-15,East,180,1838.17
2025-01-16,East,172,1732.67
2025-01-17,East,151,1392.44
2025-01-18,East,162,1779.23
2025-01-19,East,159,1738.38
2025-01-20,East,162,1470.14
2025-01-21,East,150,1633.28
2025-01-22,East,157,1579.89
2025-01-23,East,166,1535.73
2025-01-24,East,165,1755.79
2025-01-25,East,173,1706.81
2025-01-26,East,165,1720.35
2025-01-27,East,183,1949.76
2025-01-28,East,159,1602.1
2025-01-29,East,167,1519.59
2025-01-30,East,150,1596.74
2025-01-31,East,156,1620.54
2025-02-01,East,177,1915.19
2025-02-02,East,159,1516.9
2025-02-03,East,171,1807.53
2025-02-04,East,167,1794.62
2025-02-05,East,159,1543.91
2025-02-06,East,165,1620.36
2025-02-07,East,164,1585.55
2025-02-08,East,165,1486.89
2025-02-09,East,175,1656.05
2025-02-10,East,174,1681.37
2025-02-11,East,165,1520.77
2025-02-12,East,162,1706.04
2025-02-13,East,172,1694.87
2025-02-14,East,169,1713.06
2025-02-15,East,178,1703.32
2025-02-16,East,191,1856.65
2025-02-17,East,177,1859.7
2025-02-18,East,170,1689.74
2025-02-19,East,169,1722.62
2025-02-20,East,163,1604.79
2025-02-21,East,163,1648.59
2025-02-22,East,162,1748.74
2025-02-23,East,167,1592.31
2025-02-24,East,167,1676.37
2025-02-25,East,176,1825.9
2025-02-26,East,167,1531.99
2025-02-27,East,169,1846.16
2025-02-28,East,160,1599.6
2025-03-01,East,183,1736.79
2025-03-02,East,174,1830.63
2025-03-03,East,184,1956.13
2025-03-04,East,176,1805.98
2025-03-05,East,181,1960.65
2025-03-06,East,167,1532.7
2025-03-07,East,175,1759.66
2025-03-08,East,190,1992.3
2025-03-09,East,159,1722.55
2025-03-10,East,178,1830.36
2025-03-11,East,182,1857.24
2025-03-12,East,171,1671.77
2025-03-13,East,174,1764.92
2025-03-14,East,177,1789.4
2025-03-15,East,161,1740.42
2025-03-16,East,170,1811.21
2025-03-17,East,159,1665.43
2025-03-18,East,160,1735.61
2025-03-19,East,160,1461.17
2025-03-20,East,164,1728.43
2025-03-21,East,166,1647.92
2025-03-22,East,168,1764.61
2025-03-23,East,152,1458.04
2025-03-24,East,180,1788.24
2025-03-25,East,173,1842.31
2025-03-26,East,169,1532.89
2025-03-27,East,160,1533.16
2025-03-28,East,161,1606.28
2025-03-29,East,166,1776.7
2025-03-30,East,165,1574.11
2025-03-31,East,147,1564.98
2025-04-01,East,167,1584.68
2025-04-02,East,184,1767.56
2025-04-03,East,145,1465.61
2025-04-04,East,167,1721.4
2025-04-05,East,162,1743.14
2025-04-06,East,158,1699.91
2025-04-07,East,169,1605.55
2025-04-08,East,148,1552.7
2025-04-09,East,159,1632.93
2025-04-10,East,169,1651.52
2025-04-11,East,155,1635.57
2025-04-12,East,153,1651.64
2025-04-13,East,157,1563.47
2025-04-14,East,152,1646.5
2025-04-15,East,168,1554.88
2025-04-16,East,147,1371.86
2025-04-17,East,162,1705.6
2025-04-18,East,144,1384.0
2025-04-19,East,159,1617.15
2025-04-20,East,153,1529.1
2025-04-21,East,132,1226.49
2025-04-22,East,153,1607.8
2025-04-23,East,144,1509.53
2025-04-24,East,149,1384.27
2025-04-25,East,165,1570.72
2025-04-26,East,143,1515.97
2025-04-27,East,143,1547.9
2025-04-28,East,163,1750.65
2025-04-29,East,152,1520.57
2025-04-30,East,164,1596.51
2025-05-01,East,153,1513.25
2025-05-02,East,143,1337.45
2025-05-03,East,150,1498.8
2025-05-04,East,160,1513.88
2025-05-05,East,158,1473.18
2025-05-06,East,150,1464.19
2025-05-07,East,150,1369.18
2025-05-08,East,149,1481.17
2025-05-09,East,145,1506.88
2025-05-10,East,166,1710.27
2025-05-11,East,150,1642.58
2025-05-12,East,140,1508.02
2025-05-13,East,146,1499.06
2025-05-14,East,156,1684.06
2025-05-15,East,155,1532.78
2025-05-16,East,149,1579.06
2025-05-17,East,144,1377.93
2025-05-18,East,150,1508.01
2025-05-19,East,136,1490.52
2025-05-20,East,140,1427.66
2025-05-21,East,157,1572.13
2025-05-22,East,147,1554.47
2025-05-23,East,154,1482.21
2025-05-24,East,161,1716.6
2025-05-25,East,157,1418.82
2025-05-26,East,152,1440.43
2025-05-27,East,169,1580.91
2025-05-28,East,158,1503.32
2025-05-29,East,149,1622.77
2025-05-30,East,159,1438.6
