event_id,candidate_id,job_id,event_type,event_date,rating
65,2879,270,screen,2025-01-01,3.0
66,1693,59,reject,2025-01-01,4.0
67,2651,148,application,2025-01-01,5.0
68,3095,210,screen,2025-01-01,4.0
69,2800,324,screen,2025-01-01,3.0
70,3291,361,application,2025-01-01,4.0
71,1361,335,application,2025-01-01,3.0
72,1616,155,interview,2025-01-01,3.0
73,1975,359,screen,2025-01-01,4.0
74,1388,189,screen,2025-01-01,
75,162,96,application,2025-01-01,4.0
76,1705,471,offer,2025-01-01,
77,2136,273,application,2025-01-01,
78,16,434,application,2025-01-01,
79,974,93,interview,2025-01-01,3.0
80,4645,65,application,2025-01-01,5.0
81,275,155,reject,2025-01-01,4.0
82,499,378,application,2025-01-01,
83,4013,349,application,2025-01-01,2.0
84,1594,27,reject,2025-01-01,3.0
85,3437,238,offer,2025-01-01,5.0
86,4619,75,hire,2025-01-01,5.0
87,1127,241,application,2025-01-01,
88,787,178,application,2025-01-01,3.0
89,3253,179,application,2025-01-01,1.0
90,3095,54,application,2025-01-01,3.0
91,2446,61,application,2025-01-01,3.0
92,2682,236,application,2025-01-01,
93,3456,159,interview,2025-01-01,1.0
94,1725,129,hire,2025-01-01,
95,2280,389,interview,2025-01-01,3.0
96,825,491,screen,2025-01-01,
97,4027,97,application,2025-01-01,3.0
98,4719,162,reject,2025-01-01,
99,4612,163,screen,2025-01-01,
100,1579,452,hire,2025-01-01,
101,2607,229,application,2025-01-01,2.0
102,508,330,reject,2025-01-01,2.0
103,436,321,application,2025-01-01,4.0
104,1046,391,application,2025-01-01,3.0
105,2957,227,screen,2025-01-01,
106,2956,4,offer,2025-01-01,
107,4502,305,application,2025-01-01,
108,4185,87,interview,2025-01-01,4.0
109,1476,359,application,2025-01-01,4.0
110,3382,434,application,2025-01-01,
111,706,210,application,2025-01-01,
112,2804,149,offer,2025-01-01,
113,2693,402,application,2025-01-01,
114,4348,134,screen,2025-01-01,4.0
115,1387,354,interview,2025-01-01,2.0
116,1529,66,interview,2025-01-01,5.0
117,184,31,offer,2025-01-01,4.0
118,252,293,application,2025-01-01,3.0
119,94,383,application,2025-01-01,3.0
120,4633,174,application,2025-01-01,2.0
121,4797,346,application,2025-01-01,
122,3292,271,screen,2025-01-01,4.0
123,2674,70,screen,2025-01-01,
124,107,82,offer,2025-01-01,
125,3858,393,screen,2025-01-01,3.0
126,2933,56,interview,2025-01-01,2.0
127,4811,118,screen,2025-01-01,
128,1523,275,application,2025-01-01,
129,4955,140,offer,2025-01-01,3.0
130,4720,499,hire,2025-01-01,2.0
131,4286,97,application,2025-01-01,2.0
132,212,438,screen,2025-01-01,
133,2719,50,application,2025-01-01,3.0
134,2827,385,application,2025-01-01,
135,1067,166,application,2025-01-01,2.0
136,3106,18,application,2025-01-01,
137,503,337,hire,2025-01-01,4.0
138,2800,394,screen,2025-01-01,
139,3218,228,hire,2025-01-01,4.0
140,64,341,application,2025-01-01,4.0
141,4708,336,application,2025-01-01,2.0
142,1223,143,application,2025-01-01,
143,3909,173,screen,2025-01-01,1.0
144,2069,481,offer,2025-01-01,3.0
145,2577,499,interview,2025-01-02,2.0
146,2788,379,offer,2025-01-02,3.0
147,931,367,application,2025-01-02,3.0
148,257,52,hire,2025-01-02,
149,2835,495,hire,2025-01-02,
150,4890,181,screen,2025-01-02,2.0
151,693,487,offer,2025-01-02,5.0
152,1160,135,screen,2025-01-02,4.0
153,4546,40,application,2025-01-02,2.0
154,1091,412,interview,2025-01-02,
155,1654,122,application,2025-01-02,3.0
156,1203,101,reject,2025-01-02,
157,1403,217,hire,2025-01-02,5.0
158,1147,398,interview,2025-01-02,5.0
159,4643,73,application,2025-01-02,5.0
160,1594,392,interview,2025-01-02,3.0
161,3117,303,application,2025-01-02,
162,3564,224,hire,2025-01-02,2.0
163,1489,194,application,2025-01-02,3.0
164,4947,43,reject,2025-01-02,2.0
165,4910,216,application,2025-01-02,4.0
166,4963,493,application,2025-01-02,2.0
167,4785,151,hire,2025-01-02,2.0
168,3952,439,screen,2025-01-02,1.0
169,997,94,interview,2025-01-02,3.0
170,17,127,interview,2025-01-02,
171,3807,118,application,2025-01-02,3.0
172,994,265,interview,2025-01-02,5.0
173,3288,189,application,2025-01-02,
174,4349,444,interview,2025-01-02,1.0
175,4633,344,application,2025-01-02,3.0
176,2794,211,interview,2025-01-02,3.0
177,3785,111,reject,2025-01-02,3.0
178,2192,489,screen,2025-01-02,
179,75,61,application,2025-01-02,1.0
180,2211,301,screen,2025-01-02,3.0
181,3257,327,application,2025-01-02,
182,3557,482,screen,2025-01-02,
183,2324,42,screen,2025-01-02,
184,2344,487,screen,2025-01-02,5.0
185,2730,26,reject,2025-01-02,
186,4566,228,application,2025-01-02,
187,3446,328,application,2025-01-02,3.0
188,19,168,application,2025-01-02,
189,1884,413,offer,2025-01-02,1.0
190,4732,312,hire,2025-01-02,
191,1822,238,application,2025-01-02,
192,2707,425,application,2025-01-02,3.0
193,2225,39,application,2025-01-02,
194,4098,278,application,2025-01-02,4.0
195,767,351,screen,2025-01-02,3.0
196,1455,187,application,2025-01-02,
197,3714,69,reject,2025-01-02,
198,2333,357,application,2025-01-02,
199,1095,400,interview,2025-01-02,
200,2711,302,hire,2025-01-02,4.0
201,1284,57,application,2025-01-02,4.0
202,2272,254,application,2025-01-02,
203,728,282,interview,2025-01-02,
204,2728,79,interview,2025-01-02,3.0
205,3040,486,reject,2025-01-02,
206,263,40,offer,2025-01-02,1.0
207,4302,71,application,2025-01-02,3.0
208,2946,480,hire,2025-01-02,
209,3532,123,reject,2025-01-02,4.0
210,535,452,screen,2025-01-02,5.0
211,3581,179,screen,2025-01-02,
212,4522,482,application,2025-01-02,
213,2204,111,interview,2025-01-02,5.0
214,2264,227,offer,2025-01-02,
215,3092,240,application,2025-01-02,
216,4606,129,application,2025-01-02,
217,1817,498,application,2025-01-02,3.0
218,4881,367,application,2025-01-02,
219,4868,142,offer,2025-01-02,4.0
220,795,427,application,2025-01-02,
221,3439,158,offer,2025-01-02,
222,3077,454,application,2025-01-02,
223,3181,325,screen,2025-01-02,
224,1695,462,application,2025-01-02,5.0
225,957,262,interview,2025-01-02,4.0
226,2707,195,screen,2025-01-02,4.0
227,4322,482,offer,2025-01-02,1.0
228,4060,403,application,2025-01-02,3.0
229,588,392,interview,2025-01-02,4.0
230,404,488,application,2025-01-02,2.0
231,4072,391,application,2025-01-02,
232,3797,220,interview,2025-01-02,4.0
233,4950,423,offer,2025-01-02,3.0
234,2588,361,interview,2025-01-02,4.0
235,1074,404,interview,2025-01-02,5.0
236,3169,451,interview,2025-01-02,
237,4549,270,application,2025-01-02,3.0
238,867,368,interview,2025-01-02,4.0
239,1983,149,screen,2025-01-02,3.0
240,2322,269,offer,2025-01-02,3.0
241,3507,188,hire,2025-01-02,5.0
242,2013,269,application,2025-01-02,3.0
243,4639,212,application,2025-01-02,4.0
244,3247,126,screen,2025-01-02,
245,2840,312,application,2025-01-02,5.0
246,78,65,interview,2025-01-02,5.0
247,2361,103,application,2025-01-02,5.0
248,4238,155,application,2025-01-02,
249,1666,70,interview,2025-01-02,4.0
250,3037,310,screen,2025-01-02,
251,2812,18,offer,2025-01-02,3.0
252,2254,255,application,2025-01-02,4.0
253,4433,446,offer,2025-01-02,4.0
254,3424,299,interview,2025-01-02,5.0
255,1251,499,interview,2025-01-02,2.0
256,4948,196,application,2025-01-02,3.0
257,2585,107,application,2025-01-02,
258,4002,181,screen,2025-01-02,5.0
259,1724,51,application,2025-01-02,
260,2208,497,screen,2025-01-02,5.0
261,4237,416,hire,2025-01-02,4.0
262,4356,438,application,2025-01-02,3.0
263,4759,15,application,2025-01-02,
264,3258,449,screen,2025-01-02,
265,4120,274,application,2025-01-02,
266,3643,193,interview,2025-01-02,
267,3616,388,interview,2025-01-02,4.0
268,4761,310,screen,2025-01-02,2.0
269,208,295,offer,2025-01-02,2.0
270,1301,319,screen,2025-01-02,3.0
271,4256,418,application,2025-01-02,
272,742,447,application,2025-01-02,4.0
273,2269,79,application,2025-01-02,
274,3640,482,interview,2025-01-02,
275,233,220,application,2025-01-02,4.0
276,4090,378,application,2025-01-02,2.0
277,4265,477,screen,2025-01-02,3.0
278,622,125,application,2025-01-02,3.0
279,1619,428,hire,2025-01-02,3.0
280,668,72,offer,2025-01-02,2.0
281,627,181,reject,2025-01-02,
282,4935,260,application,2025-01-02,
283,3103,346,screen,2025-01-02,3.0
284,2559,348,application,2025-01-02,4.0
285,2299,387,application,2025-01-02,
286,1441,428,application,2025-01-02,
287,4374,451,offer,2025-01-02,
288,917,124,application,2025-01-02,1.0
289,391,236,application,2025-01-03,3.0
290,1546,404,interview,2025-01-03,3.0
291,4043,65,screen,2025-01-03,3.0
292,4127,186,application,2025-01-03,3.0
293,1038,196,application,2025-01-03,4.0
294,700,359,application,2025-01-03,3.0
295,920,297,application,2025-01-03,2.0
296,4441,469,application,2025-01-03,4.0
297,4150,170,application,2025-01-03,
298,1172,44,interview,2025-01-03,4.0
299,3150,91,offer,2025-01-03,5.0
300,2975,470,application,2025-01-03,4.0
301,1497,362,application,2025-01-03,
302,2092,28,interview,2025-01-03,
303,3757,306,hire,2025-01-03,1.0
304,632,409,offer,2025-01-03,2.0
305,4693,306,screen,2025-01-03,2.0
306,1817,21,reject,2025-01-03,3.0
307,2817,9,offer,2025-01-03,
308,1039,231,screen,2025-01-03,
309,3832,186,offer,2025-01-03,4.0
310,357,367,hire,2025-01-03,1.0
311,3684,312,screen,2025-01-03,4.0
312,2203,173,application,2025-01-03,2.0
313,777,272,application,2025-01-03,4.0
314,1088,142,screen,2025-01-03,
315,2167,450,screen,2025-01-03,4.0
316,4759,163,application,2025-01-03,4.0
317,4953,125,screen,2025-01-03,2.0
318,2509,38,reject,2025-01-03,
319,970,352,offer,2025-01-03,
320,434,287,application,2025-01-03,3.0
321,722,170,application,2025-01-03,1.0
322,4708,318,application,2025-01-03,3.0
323,159,389,offer,2025-01-03,
324,1084,458,application,2025-01-03,5.0
325,4858,304,reject,2025-01-03,
326,1610,207,hire,2025-01-03,
327,4155,484,hire,2025-01-03,2.0
328,3718,241,screen,2025-01-03,
329,3741,442,screen,2025-01-03,2.0
330,1171,432,application,2025-01-03,
331,3959,143,screen,2025-01-03,1.0
332,2046,134,interview,2025-01-03,
333,4640,243,interview,2025-01-03,4.0
334,3033,269,application,2025-01-03,3.0
335,75,359,application,2025-01-03,
336,890,344,screen,2025-01-03,
337,2912,435,interview,2025-01-03,
338,1600,308,interview,2025-01-03,
339,4108,418,application,2025-01-03,
340,2673,124,application,2025-01-03,
341,99,185,application,2025-01-03,
342,1555,97,screen,2025-01-03,
343,3976,415,reject,2025-01-03,3.0
344,3180,160,screen,2025-01-03,
345,4490,106,application,2025-01-03,3.0
346,4634,273,interview,2025-01-03,4.0
347,948,217,reject,2025-01-03,3.0
348,3284,76,application,2025-01-03,3.0
349,2810,36,screen,2025-01-03,
350,264,500,interview,2025-01-03,3.0
351,1155,31,reject,2025-01-03,3.0
352,1631,44,screen,2025-01-03,
353,2771,148,application,2025-01-03,
354,4804,451,screen,2025-01-03,3.0
355,4799,118,offer,2025-01-03,4.0
356,3220,363,application,2025-01-03,4.0
357,3517,360,offer,2025-01-03,
358,3858,460,application,2025-01-03,
359,4387,382,application,2025-01-03,2.0
360,1944,15,offer,2025-01-03,2.0
361,2533,492,application,2025-01-03,2.0
362,2017,257,screen,2025-01-03,3.0
363,1958,389,interview,2025-01-03,
364,1860,158,screen,2025-01-03,3.0
365,4278,125,application,2025-01-03,3.0
366,3864,160,screen,2025-01-03,3.0
367,1316,454,application,2025-01-03,3.0
368,3560,319,offer,2025-01-03,
369,4395,297,interview,2025-01-03,3.0
370,4927,484,offer,2025-01-03,
371,1926,172,hire,2025-01-03,2.0
372,3341,428,interview,2025-01-03,4.0
373,673,336,screen,2025-01-03,2.0
374,360,13,application,2025-01-03,
375,4198,301,application,2025-01-03,5.0
376,604,99,offer,2025-01-03,4.0
377,1917,149,application,2025-01-03,
378,3785,457,interview,2025-01-03,3.0
379,1979,297,hire,2025-01-03,4.0
380,4127,3,offer,2025-01-03,2.0
381,558,48,application,2025-01-03,4.0
382,3185,360,screen,2025-01-03,4.0
383,4570,178,application,2025-01-03,3.0
384,722,302,application,2025-01-03,
385,4196,376,application,2025-01-03,
386,3569,211,offer,2025-01-03,
387,4980,179,hire,2025-01-03,
388,868,462,interview,2025-01-03,
389,355,456,application,2025-01-03,5.0
390,415,84,interview,2025-01-03,
391,4903,481,offer,2025-01-03,
392,4461,213,interview,2025-01-03,
393,4832,162,application,2025-01-03,2.0
394,2205,197,application,2025-01-03,
395,4885,224,reject,2025-01-03,
396,988,360,application,2025-01-03,4.0
397,4675,99,hire,2025-01-03,5.0
398,3853,471,application,2025-01-03,
399,4236,41,application,2025-01-03,2.0
400,3613,76,reject,2025-01-03,5.0
401,2114,177,application,2025-01-03,1.0
402,75,305,application,2025-01-03,
403,1345,378,application,2025-01-03,2.0
404,4413,429,hire,2025-01-03,
405,4277,377,screen,2025-01-03,
406,2669,468,interview,2025-01-03,1.0
407,3928,339,reject,2025-01-03,3.0
408,1859,214,hire,2025-01-03,
409,202,366,screen,2025-01-03,2.0
410,2555,357,reject,2025-01-03,5.0
411,3077,458,offer,2025-01-03,3.0
412,4039,452,interview,2025-01-03,3.0
413,3165,302,application,2025-01-03,2.0
414,4066,450,offer,2025-01-03,
415,2865,305,application,2025-01-03,4.0
416,3706,11,offer,2025-01-03,3.0
417,3549,341,interview,2025-01-03,3.0
418,4192,149,offer,2025-01-03,3.0
419,1131,148,offer,2025-01-03,4.0
420,1661,273,application,2025-01-03,
421,2325,107,application,2025-01-03,5.0
422,3451,143,reject,2025-01-03,5.0
423,4353,484,application,2025-01-03,4.0
424,13,469,offer,2025-01-03,
425,3622,432,application,2025-01-03,3.0
426,1808,389,application,2025-01-03,
427,1368,374,interview,2025-01-03,3.0
428,4768,456,application,2025-01-03,
429,3735,202,reject,2025-01-03,4.0
430,7,56,screen,2025-01-03,
431,1912,175,screen,2025-01-03,
432,4520,458,application,2025-01-03,3.0
433,1218,346,screen,2025-01-04,3.0
434,4079,5,screen,2025-01-04,1.0
435,4637,265,application,2025-01-04,
436,3381,479,application,2025-01-04,3.0
437,1961,283,hire,2025-01-04,
438,32,407,reject,2025-01-04,3.0
439,3755,270,interview,2025-01-04,
440,4909,346,application,2025-01-04,3.0
441,2948,430,reject,2025-01-04,4.0
442,2726,396,application,2025-01-04,5.0
443,1675,137,application,2025-01-04,
444,1722,222,offer,2025-01-04,1.0
445,500,183,application,2025-01-04,3.0
446,2959,417,application,2025-01-04,
447,2019,79,application,2025-01-04,3.0
448,2114,210,application,2025-01-04,4.0
449,449,68,application,2025-01-04,4.0
450,4954,260,screen,2025-01-04,3.0
451,4375,385,offer,2025-01-04,3.0
452,1631,107,screen,2025-01-04,
453,4192,319,screen,2025-01-04,3.0
454,1642,378,screen,2025-01-04,3.0
455,3502,292,hire,2025-01-04,4.0
456,3602,1,application,2025-01-04,
457,4725,121,application,2025-01-04,3.0
458,334,283,reject,2025-01-04,
459,2493,392,application,2025-01-04,4.0
460,3741,392,application,2025-01-04,
461,1777,407,hire,2025-01-04,3.0
462,4524,129,reject,2025-01-04,
463,3700,103,offer,2025-01-04,
464,3005,239,screen,2025-01-04,
465,432,280,application,2025-01-04,5.0
466,1243,262,hire,2025-01-04,3.0
467,4767,173,reject,2025-01-04,
468,865,50,application,2025-01-04,
469,2677,199,interview,2025-01-04,5.0
470,3538,232,application,2025-01-04,
471,4235,392,screen,2025-01-04,3.0
472,2457,219,reject,2025-01-04,4.0
473,3098,452,application,2025-01-04,
474,861,267,offer,2025-01-04,4.0
475,4243,414,hire,2025-01-04,2.0
476,4635,91,application,2025-01-04,
477,1685,301,screen,2025-01-04,4.0
478,105,312,application,2025-01-04,4.0
479,4065,142,reject,2025-01-04,1.0
480,2643,464,offer,2025-01-04,1.0
481,2689,75,hire,2025-01-04,
482,3253,149,screen,2025-01-04,2.0
483,3518,36,interview,2025-01-04,4.0
484,4039,470,offer,2025-01-04,3.0
485,654,439,interview,2025-01-04,3.0
486,3308,324,application,2025-01-04,4.0
487,90,411,offer,2025-01-04,
488,591,484,screen,2025-01-04,2.0
489,2368,244,interview,2025-01-04,3.0
490,4703,137,screen,2025-01-04,
491,1414,269,application,2025-01-04,4.0
492,421,139,application,2025-01-04,5.0
493,3158,279,screen,2025-01-04,2.0
494,4450,425,reject,2025-01-04,
495,3779,305,application,2025-01-04,
496,2895,157,screen,2025-01-04,3.0
497,1681,146,hire,2025-01-04,
498,622,131,application,2025-01-04,5.0
499,4375,358,hire,2025-01-04,3.0
500,3647,317,interview,2025-01-04,2.0
501,4707,292,screen,2025-01-04,
502,2475,40,application,2025-01-04,3.0
503,2887,194,application,2025-01-04,2.0
504,4070,240,interview,2025-01-04,
505,3907,467,application,2025-01-04,5.0
506,4525,109,hire,2025-01-04,1.0
507,2737,48,interview,2025-01-04,3.0
508,2586,144,interview,2025-01-04,5.0
509,3082,194,screen,2025-01-04,4.0
510,395,86,application,2025-01-04,4.0
511,2002,132,screen,2025-01-04,2.0
512,4513,309,hire,2025-01-04,5.0
513,1793,300,hire,2025-01-04,
514,825,308,offer,2025-01-04,
515,4479,249,hire,2025-01-04,4.0
516,4371,441,application,2025-01-04,2.0
517,4340,135,application,2025-01-04,
518,4055,244,application,2025-01-04,4.0
519,4206,281,application,2025-01-04,2.0
520,2077,178,application,2025-01-04,
521,4607,242,offer,2025-01-04,2.0
522,3631,418,application,2025-01-04,2.0
523,661,346,application,2025-01-04,4.0
524,3694,493,reject,2025-01-04,4.0
525,4301,369,interview,2025-01-04,
526,2921,167,application,2025-01-04,2.0
527,2652,47,application,2025-01-04,5.0
528,274,410,screen,2025-01-04,5.0
529,4317,439,application,2025-01-04,4.0
530,88,77,screen,2025-01-04,1.0
531,2045,93,offer,2025-01-04,
532,2871,392,application,2025-01-04,2.0
533,3264,376,offer,2025-01-04,
534,2804,131,offer,2025-01-04,3.0
535,4075,349,offer,2025-01-04,
536,3146,226,interview,2025-01-04,3.0
537,2877,449,screen,2025-01-04,
538,1358,199,reject,2025-01-04,4.0
539,3079,354,application,2025-01-04,
540,4910,178,hire,2025-01-04,4.0
541,3309,338,application,2025-01-04,3.0
542,3250,214,hire,2025-01-04,
543,2458,313,application,2025-01-04,3.0
544,540,223,application,2025-01-04,2.0
545,1499,414,application,2025-01-04,3.0
546,2659,192,hire,2025-01-04,3.0
547,1320,468,screen,2025-01-04,4.0
548,4686,304,screen,2025-01-04,
549,4400,263,application,2025-01-04,4.0
550,922,223,offer,2025-01-04,
551,447,50,application,2025-01-04,4.0
552,3738,453,interview,2025-01-04,1.0
553,4426,420,offer,2025-01-04,3.0
554,3825,79,offer,2025-01-04,4.0
555,2371,12,interview,2025-01-04,
556,2990,426,hire,2025-01-04,3.0
557,2801,383,offer,2025-01-04,3.0
558,3543,269,screen,2025-01-04,3.0
559,2446,370,interview,2025-01-04,
560,4158,170,interview,2025-01-04,4.0
561,384,32,application,2025-01-04,
562,3313,401,screen,2025-01-04,
563,2141,33,application,2025-01-04,5.0
564,3717,225,interview,2025-01-04,5.0
565,2965,278,reject,2025-01-04,3.0
566,1439,388,interview,2025-01-04,4.0
567,4631,159,application,2025-01-04,3.0
568,1154,268,interview,2025-01-04,3.0
569,110,484,reject,2025-01-04,
570,4622,28,hire,2025-01-04,
571,368,464,interview,2025-01-04,3.0
572,2662,128,application,2025-01-04,3.0
573,2251,274,reject,2025-01-04,4.0
574,1988,330,hire,2025-01-04,3.0
575,2077,404,interview,2025-01-04,4.0
576,375,407,screen,2025-01-04,1.0
577,4308,122,application,2025-01-05,
578,3919,190,application,2025-01-05,3.0
579,915,145,application,2025-01-05,
580,2790,218,application,2025-01-05,1.0
581,2417,56,screen,2025-01-05,2.0
582,4986,333,application,2025-01-05,
583,1238,335,application,2025-01-05,3.0
584,4520,32,reject,2025-01-05,2.0
585,4264,280,hire,2025-01-05,3.0
586,492,60,application,2025-01-05,3.0
587,2660,418,application,2025-01-05,2.0
588,1537,274,reject,2025-01-05,4.0
589,55,105,application,2025-01-05,
590,2420,348,interview,2025-01-05,
591,1827,324,application,2025-01-05,5.0
592,4015,407,application,2025-01-05,1.0
593,1711,162,application,2025-01-05,4.0
594,2931,183,application,2025-01-05,1.0
595,4820,31,application,2025-01-05,3.0
596,3072,54,screen,2025-01-05,
597,795,155,reject,2025-01-05,
598,2124,263,hire,2025-01-05,3.0
599,3194,317,application,2025-01-05,3.0
600,100,349,interview,2025-01-05,4.0
601,3019,102,reject,2025-01-05,2.0
602,4254,173,screen,2025-01-05,5.0
603,3725,185,application,2025-01-05,3.0
604,2227,286,application,2025-01-05,5.0
605,4775,18,application,2025-01-05,5.0
606,4231,368,hire,2025-01-05,5.0
607,4053,117,application,2025-01-05,5.0
608,3139,481,screen,2025-01-05,4.0
609,4086,19,application,2025-01-05,
610,347,79,application,2025-01-05,3.0
611,1574,268,screen,2025-01-05,3.0
612,1176,73,screen,2025-01-05,
613,41,319,interview,2025-01-05,3.0
614,3710,411,application,2025-01-05,
615,10,155,interview,2025-01-05,3.0
616,432,445,application,2025-01-05,
617,1281,130,application,2025-01-05,2.0
618,1723,19,interview,2025-01-05,1.0
619,2052,360,hire,2025-01-05,3.0
620,241,306,screen,2025-01-05,
621,4387,134,offer,2025-01-05,
622,1565,355,screen,2025-01-05,
623,4796,28,interview,2025-01-05,
624,793,265,application,2025-01-05,
625,3827,305,application,2025-01-05,
626,165,155,application,2025-01-05,
627,1153,244,screen,2025-01-05,
628,72,345,hire,2025-01-05,5.0
629,4111,82,application,2025-01-05,1.0
630,1610,393,offer,2025-01-05,1.0
631,4149,212,hire,2025-01-05,
632,4520,186,hire,2025-01-05,4.0
633,2636,393,offer,2025-01-05,2.0
634,391,27,application,2025-01-05,
635,1909,475,offer,2025-01-05,3.0
636,2705,437,screen,2025-01-05,
637,3220,287,application,2025-01-05,
638,1722,97,hire,2025-01-05,
639,56,353,offer,2025-01-05,5.0
640,4590,465,application,2025-01-05,5.0
641,1859,426,application,2025-01-05,5.0
642,2110,310,interview,2025-01-05,
643,1060,114,screen,2025-01-05,
644,3447,166,reject,2025-01-05,
645,1538,475,application,2025-01-05,3.0
646,728,451,screen,2025-01-05,
647,1653,154,application,2025-01-05,
648,298,112,offer,2025-01-05,4.0
649,2223,389,application,2025-01-05,3.0
650,2200,67,screen,2025-01-05,1.0
651,1986,23,screen,2025-01-05,
652,62,5,application,2025-01-05,
653,2660,379,application,2025-01-05,4.0
654,57,158,offer,2025-01-05,4.0
655,1720,371,application,2025-01-05,
656,3632,392,application,2025-01-05,4.0
657,426,366,application,2025-01-05,5.0
658,4828,465,application,2025-01-05,3.0
659,571,32,application,2025-01-05,5.0
660,1914,112,application,2025-01-05,1.0
661,3287,189,application,2025-01-05,
662,1862,289,application,2025-01-05,4.0
663,4587,331,interview,2025-01-05,3.0
664,1579,214,interview,2025-01-05,
665,480,100,offer,2025-01-05,
666,3327,319,application,2025-01-05,
667,364,156,application,2025-01-05,2.0
668,3685,326,application,2025-01-05,
669,4046,202,application,2025-01-05,5.0
670,4857,374,offer,2025-01-05,5.0
671,4064,31,interview,2025-01-05,
672,1842,53,screen,2025-01-05,3.0
673,2602,160,interview,2025-01-05,5.0
674,604,74,application,2025-01-05,
675,1770,484,application,2025-01-05,
676,4363,363,offer,2025-01-05,
677,3226,441,application,2025-01-05,
678,318,103,application,2025-01-05,4.0
679,4543,457,interview,2025-01-05,4.0
680,3734,496,application,2025-01-05,1.0
681,3718,391,application,2025-01-05,4.0
682,3510,75,application,2025-01-05,5.0
683,3131,4,offer,2025-01-05,3.0
684,1808,187,reject,2025-01-05,4.0
685,2018,388,hire,2025-01-05,3.0
686,1407,124,application,2025-01-05,3.0
687,1579,371,offer,2025-01-05,2.0
688,1972,8,screen,2025-01-05,4.0
689,4676,130,offer,2025-01-05,5.0
690,3003,239,application,2025-01-05,
691,1632,355,offer,2025-01-05,3.0
692,2238,55,offer,2025-01-05,5.0
693,1105,197,screen,2025-01-05,2.0
694,4866,349,screen,2025-01-05,3.0
695,4061,473,interview,2025-01-05,2.0
696,4933,133,screen,2025-01-05,
697,3671,269,offer,2025-01-05,
698,2875,288,screen,2025-01-05,5.0
699,1467,473,reject,2025-01-05,2.0
700,2394,37,application,2025-01-05,
701,1722,199,offer,2025-01-05,4.0
702,1865,293,application,2025-01-05,3.0
703,2665,359,interview,2025-01-05,
704,4385,468,screen,2025-01-05,4.0
705,3735,229,application,2025-01-05,
706,2649,463,hire,2025-01-05,5.0
707,4560,8,application,2025-01-05,3.0
708,581,300,offer,2025-01-05,3.0
709,4709,483,application,2025-01-05,3.0
710,4553,306,application,2025-01-05,
711,2587,162,application,2025-01-05,5.0
712,81,232,application,2025-01-05,3.0
713,4859,55,screen,2025-01-05,2.0
714,2177,446,screen,2025-01-05,
715,64,311,application,2025-01-05,3.0
716,2106,127,interview,2025-01-05,3.0
717,2306,273,interview,2025-01-05,
718,2959,240,application,2025-01-05,1.0
719,1634,377,screen,2025-01-05,4.0
720,3672,260,screen,2025-01-05,5.0
721,1158,116,interview,2025-01-06,3.0
