candidate_id,age,gender,degree,seniority,experience_years,current_salary,city,skills_count
59,31,Non-binary,Bachelor,Executive,18.6,154387.0,Boston,8
60,31,Male,Master,Senior,10.5,117403.0,Chicago,5
61,22,Male,PhD,Mid,5.9,89914.0,Los Angeles,5
62,38,Non-binary,Bachelor,Mid,5.2,81696.0,Remote,5
63,26,Male,Associate,Mid,4.0,111361.0,Denver,5
64,25,Male,Bachelor,Mid,6.8,98749.0,San Francisco,6
65,35,Male,High School,Entry,0.0,54003.0,Denver,6
66,37,Male,Bachelor,Mid,5.4,93914.0,Atlanta,5
67,36,Female,Bachelor,Junior,0.0,67183.0,Denver,7
68,41,Male,Bachelor,Mid,5.5,64387.0,Seattle,9
69,25,Male,Associate,Mid,4.9,88582.0,Chicago,5
70,44,Male,PhD,Senior,10.0,90789.0,Austin,11
71,22,Male,Bachelor,Senior,6.6,99349.0,Remote,9
72,32,Female,PhD,Mid,7.0,81567.0,Remote,4
73,29,Female,Bachelor,Entry,3.2,45891.0,Denver,7
74,27,Female,Bachelor,Senior,8.2,95966.0,New York,6
75,41,Female,Bachelor,Mid,8.7,73222.0,New York,4
76,39,Male,Master,Executive,13.6,165497.0,Denver,3
77,22,Male,PhD,Senior,9.4,115909.0,Denver,5
78,26,Female,Bachelor,Junior,5.8,68561.0,Remote,6
79,44,Male,Bachelor,Executive,14.8,197316.0,Remote,5
80,31,Female,Master,Junior,2.1,75854.0,Seattle,3
81,26,Female,Master,Mid,5.8,96851.0,Atlanta,4
82,27,Female,Associate,Mid,8.6,72435.0,Denver,6
83,26,Female,Bachelor,Entry,2.1,43719.0,Los Angeles,5
84,44,Female,Associate,Junior,3.1,68006.0,Los Angeles,3
85,32,Male,PhD,Mid,6.1,70438.0,New York,6
86,28,Female,Master,Senior,11.2,93617.0,Boston,3
87,22,Male,Master,Senior,12.4,120252.0,Austin,5
88,27,Female,Bachelor,Senior,,100080.0,New York,2
89,40,Female,Bachelor,Senior,9.2,77186.0,Denver,4
90,28,Male,Master,Mid,5.9,110988.0,Chicago,5
91,40,Female,PhD,Junior,0.0,72007.0,Seattle,2
92,44,Male,PhD,Junior,3.3,80048.0,Atlanta,6
93,24,Male,Master,Mid,2.1,91429.0,Seattle,6
94,22,Male,Master,Executive,18.9,110986.0,Atlanta,9
95,39,Female,Bachelor,Executive,14.2,146566.0,Atlanta,3
96,42,Female,Master,Entry,1.3,62060.0,Remote,6
97,29,Male,Bachelor,Senior,9.5,83425.0,Denver,3
98,31,Female,Master,Junior,,75624.0,Chicago,4
99,30,Male,Master,Senior,,79649.0,Atlanta,7
100,38,Male,Bachelor,Mid,6.9,79532.0,Atlanta,4
101,22,Male,High School,Junior,,78698.0,New York,5
102,46,Male,Associate,Senior,8.0,117843.0,Atlanta,5
103,28,Female,Bachelor,Junior,4.5,56872.0,Boston,4
104,45,Female,Bachelor,Junior,4.8,74021.0,Austin,4
105,22,Female,PhD,Junior,,73004.0,Remote,6
106,29,Female,Bachelor,Entry,0.0,42104.0,Seattle,3
107,22,Female,Master,Mid,5.3,71481.0,Boston,4
108,29,Female,PhD,Senior,10.5,117121.0,San Francisco,6
109,41,Female,Bachelor,Senior,13.7,100244.0,Denver,5
110,50,Female,Master,Entry,0.8,47064.0,Denver,3
111,38,Female,Bachelor,Mid,7.5,76171.0,Austin,8
112,28,Male,Bachelor,Junior,0.0,50871.0,Denver,5
113,49,Male,Bachelor,Junior,3.0,42230.0,Denver,6
114,34,Female,Bachelor,Entry,0.7,63829.0,Denver,8
115,23,Male,Bachelor,Mid,6.4,87639.0,Boston,7
116,29,Female,Master,Junior,3.7,78142.0,Austin,4
117,32,Male,Master,Senior,7.8,123435.0,Los Angeles,6
118,26,Male,Bachelor,Senior,9.1,112579.0,Chicago,6
119,32,Female,Associate,Junior,1.2,52958.0,Atlanta,7
120,32,Female,Associate,Senior,9.4,107431.0,Boston,2
121,42,Female,Master,Executive,14.9,163549.0,Boston,7
122,34,Male,Master,Senior,10.3,148403.0,Remote,3
123,30,Male,Master,Junior,5.9,61084.0,Denver,5
124,42,Male,Master,Entry,0.0,45462.0,Los Angeles,5
125,22,Female,PhD,Senior,9.8,110278.0,Seattle,5
126,22,Female,Master,Mid,4.1,77156.0,Austin,7
127,35,Female,Bachelor,Mid,6.0,92647.0,Austin,6
128,22,Male,Master,Senior,11.2,94598.0,Chicago,2
129,24,Male,Bachelor,Junior,2.1,47628.0,Boston,3
130,39,Non-binary,Bachelor,Executive,13.8,121415.0,Seattle,5
131,33,Female,Bachelor,Entry,2.7,60750.0,Seattle,8
132,22,Male,Master,Entry,0.4,52730.0,Boston,4
133,40,Male,Master,Executive,16.4,142096.0,Remote,7
134,36,Female,Master,Mid,8.9,74190.0,Los Angeles,10
135,22,Female,Bachelor,Mid,4.4,88022.0,Boston,2
136,32,Male,Bachelor,Mid,6.0,74759.0,Chicago,7
137,45,Male,Bachelor,Junior,4.8,58830.0,New York,6
138,40,Male,High School,Executive,14.3,108937.0,Remote,11
139,29,Female,Bachelor,Mid,8.3,98630.0,Denver,4
140,25,Male,PhD,Mid,8.0,103103.0,Los Angeles,5
141,48,Female,High School,Entry,1.1,54200.0,Seattle,4
142,42,Male,Master,Junior,2.2,59913.0,Atlanta,4
143,46,Male,PhD,Mid,4.8,60707.0,Austin,3
144,30,Male,Bachelor,Executive,14.0,164859.0,San Francisco,8
145,37,Female,Master,Entry,0.0,47415.0,Denver,4
146,24,Female,Master,Mid,2.9,80799.0,New York,3
147,32,Female,Master,Senior,10.6,,Seattle,5
148,39,Female,Bachelor,Mid,6.9,87267.0,Remote,4
149,36,Female,Bachelor,Senior,9.8,68193.0,Austin,6
150,27,Female,Master,Senior,13.0,93557.0,Chicago,5
151,40,Male,Associate,Mid,5.7,66823.0,Atlanta,4
152,33,Female,Bachelor,Junior,2.7,74877.0,Remote,10
153,30,Female,Bachelor,Junior,2.8,67469.0,Atlanta,3
154,33,Female,PhD,Entry,1.7,53424.0,Atlanta,8
155,38,Female,Associate,Executive,15.4,172487.0,Chicago,10
156,43,Male,Master,Mid,5.4,55260.0,Denver,5
157,26,Non-binary,PhD,Entry,2.6,50363.0,Los Angeles,3
158,22,Female,Associate,Mid,6.4,88738.0,Atlanta,5
159,22,Female,Bachelor,Mid,9.1,82872.0,Los Angeles,3
160,33,Male,Associate,Mid,8.6,65620.0,Seattle,6
161,48,Male,Associate,Junior,2.6,62778.0,Austin,2
162,34,Male,Bachelor,Mid,4.7,83447.0,Atlanta,5
163,40,Male,Bachelor,Senior,,79670.0,Seattle,5
164,38,Male,Bachelor,Mid,9.1,97030.0,New York,6
165,33,Male,PhD,Entry,4.4,61141.0,Seattle,4
166,44,Male,Bachelor,Executive,14.6,157463.0,New York,3
167,30,Male,Bachelor,Junior,0.6,60780.0,Remote,1
168,32,Male,Associate,Mid,6.2,81647.0,Denver,8
169,22,Female,Master,Entry,1.4,54380.0,Seattle,4
170,26,Male,Bachelor,Junior,4.3,72775.0,New York,5
171,26,Male,Bachelor,Entry,0.3,46699.0,Seattle,5
172,36,Female,High School,Junior,4.7,71427.0,Austin,7
173,29,Male,Bachelor,Entry,3.4,62493.0,New York,2
174,32,Female,PhD,Executive,16.9,118782.0,Denver,2
175,33,Male,Bachelor,Senior,10.4,82707.0,New York,4
176,31,Female,Master,Entry,0.0,63681.0,New York,7
177,31,Male,Bachelor,Junior,0.5,64933.0,Boston,6
178,29,Male,Bachelor,Entry,1.1,55137.0,Boston,6
179,23,Male,Bachelor,Mid,7.0,70709.0,San Francisco,6
180,25,Male,Master,Mid,4.8,81050.0,Boston,2
181,33,Female,Master,Entry,1.8,48451.0,San Francisco,4
182,27,Male,Master,Mid,6.0,92785.0,Atlanta,6
183,22,Male,PhD,Junior,4.6,53126.0,Austin,8
184,31,Male,Master,Senior,10.7,114083.0,Remote,5
185,30,Female,Bachelor,Junior,4.4,70809.0,San Francisco,7
186,22,Female,Bachelor,Mid,7.5,62640.0,Remote,6
187,22,Female,Bachelor,Junior,2.0,68335.0,New York,5
188,25,Female,PhD,Junior,4.6,53066.0,Los Angeles,4
189,33,Male,PhD,Executive,13.6,113689.0,New York,6
190,32,Male,Master,Mid,3.2,66815.0,Denver,9
191,36,Male,Bachelor,Senior,7.4,111529.0,Denver,7
192,22,Female,Master,Junior,3.8,68424.0,Atlanta,6
193,48,Male,Master,Mid,6.1,86868.0,Denver,4
194,35,Female,Bachelor,Entry,2.2,50340.0,Los Angeles,4
195,29,Female,Master,Executive,16.8,164052.0,Seattle,5
196,34,Female,Associate,Mid,5.1,102665.0,New York,8
197,30,Male,Bachelor,Mid,8.8,91031.0,Seattle,5
198,28,Male,Master,Mid,6.4,80662.0,Atlanta,5
199,24,Male,Bachelor,Mid,7.3,91451.0,New York,7
200,31,Female,Associate,Mid,5.0,85375.0,Los Angeles,3
201,32,Female,PhD,Junior,1.1,70219.0,Austin,3
202,30,Female,Bachelor,Junior,4.1,70418.0,Atlanta,9
203,27,Female,Bachelor,Mid,5.1,76020.0,New York,9
204,37,Male,Bachelor,Mid,6.2,69120.0,San Francisco,3
205,42,Male,Associate,Mid,,83258.0,Denver,8
206,49,Female,Bachelor,Entry,0.3,61525.0,Los Angeles,2
207,28,Male,Associate,Junior,3.7,64381.0,New York,5
208,28,Male,Master,Mid,7.6,90708.0,San Francisco,1
209,38,Non-binary,Bachelor,Mid,7.2,108028.0,Boston,8
210,27,Female,Bachelor,Senior,13.0,101996.0,Seattle,9
211,45,Male,Master,Junior,3.9,69094.0,Seattle,6
212,40,Female,Bachelor,Senior,,103148.0,Chicago,2
213,25,Male,PhD,Mid,5.9,59726.0,Chicago,3
214,31,Non-binary,Bachelor,Entry,0.0,48682.0,Boston,6
215,22,Male,PhD,Entry,0.0,66270.0,Atlanta,8
216,27,Female,Bachelor,Senior,9.3,113109.0,Seattle,3
217,38,Male,Master,Junior,3.6,46975.0,New York,5
218,36,Female,Bachelor,Junior,4.6,55450.0,Los Angeles,4
219,32,Female,PhD,Entry,0.0,43154.0,New York,5
220,30,Female,Bachelor,Mid,5.5,67127.0,Austin,5
221,28,Female,Associate,Junior,0.0,50640.0,Remote,2
222,22,Male,Master,Senior,10.5,110825.0,Austin,6
223,32,Male,Associate,Junior,1.7,71110.0,New York,5
224,24,Female,High School,Mid,9.4,81065.0,Austin,4
225,22,Female,Bachelor,Entry,4.0,48376.0,Atlanta,8
226,36,Male,Bachelor,Mid,7.8,91688.0,New York,2
227,24,Non-binary,Bachelor,Senior,12.9,96181.0,New York,5
228,22,Female,Associate,Entry,2.0,49463.0,Remote,3
229,24,Female,Bachelor,Senior,8.5,91792.0,Chicago,3
230,44,Male,Master,Entry,0.0,65643.0,Denver,4
231,25,Male,Bachelor,Junior,6.4,68463.0,Remote,3
232,32,Female,Bachelor,Executive,13.1,145001.0,Austin,8
233,33,Male,High School,Entry,0.0,50331.0,Chicago,4
234,46,Male,Associate,Entry,0.4,52137.0,Boston,8
235,31,Female,Bachelor,Mid,9.1,80431.0,Atlanta,6
236,28,Female,High School,Junior,3.6,71236.0,New York,4
237,43,Female,PhD,Junior,1.4,59236.0,Atlanta,4
238,29,Female,Master,Junior,2.1,59342.0,Austin,5
239,37,Non-binary,Bachelor,Senior,9.6,141254.0,New York,8
240,46,Female,Bachelor,Entry,0.0,37141.0,Los Angeles,4
241,36,Male,Bachelor,Mid,6.3,83752.0,San Francisco,5
242,22,Female,Associate,Mid,,82077.0,Remote,6
243,22,Female,Bachelor,Mid,8.7,97389.0,Los Angeles,6
244,33,Male,Bachelor,Mid,7.0,79290.0,Boston,8
245,31,Female,Master,Mid,4.3,78178.0,Boston,2
246,22,Female,Bachelor,Junior,4.1,59137.0,Atlanta,11
247,35,Female,Master,Senior,13.9,116566.0,Seattle,9
248,31,Male,High School,Mid,4.4,80565.0,Chicago,2
249,44,Female,Bachelor,Junior,,68332.0,Denver,1
250,40,Non-binary,Bachelor,Senior,10.3,124224.0,Austin,7
251,26,Male,Master,Executive,16.7,108008.0,Atlanta,7
252,22,Non-binary,Associate,Entry,1.2,52943.0,Remote,3
253,39,Male,Bachelor,Mid,4.5,83215.0,Chicago,9
254,30,Male,Bachelor,Junior,1.9,75667.0,Los Angeles,1
255,37,Male,Bachelor,Junior,1.9,62966.0,New York,5
256,38,Male,PhD,Entry,0.5,45788.0,Austin,8
257,42,Male,Bachelor,Junior,2.5,63313.0,Remote,3
258,43,Female,Bachelor,Entry,2.7,61199.0,Chicago,3
259,22,Female,Master,Mid,7.2,83504.0,Seattle,4
260,22,Male,Associate,Senior,10.0,89118.0,New York,4
261,35,Male,Master,Junior,0.0,59246.0,New York,3
262,26,Male,Bachelor,Executive,13.9,181774.0,Denver,9
263,30,Male,Bachelor,Junior,5.0,85156.0,Austin,10
264,32,Male,Master,Mid,,101380.0,Los Angeles,6
265,34,Female,Associate,Junior,8.2,56458.0,Atlanta,5
266,27,Male,Master,Mid,3.9,83102.0,Los Angeles,6
267,22,Male,Bachelor,Senior,11.7,98482.0,Boston,3
268,40,Female,Bachelor,Senior,10.8,92137.0,Seattle,3
269,29,Male,High School,Junior,0.8,74508.0,Chicago,2
270,32,Male,Master,Mid,8.5,76732.0,San Francisco,5
271,28,Male,Master,Mid,4.1,104782.0,Boston,7
272,45,Female,Bachelor,Entry,2.8,37371.0,San Francisco,3
273,36,Non-binary,PhD,Entry,1.6,44208.0,Seattle,2
274,30,Female,Master,Mid,6.2,92899.0,Seattle,4
275,31,Male,Bachelor,Mid,,73766.0,Seattle,3
276,22,Male,Bachelor,Executive,17.3,106075.0,Chicago,8
277,22,Female,PhD,Junior,4.5,72762.0,New York,6
278,35,Female,Master,Executive,13.5,149637.0,Chicago,6
279,35,Female,Master,Mid,8.5,82627.0,Austin,3
280,40,Male,PhD,Mid,3.1,71109.0,Chicago,4
281,32,Male,Bachelor,Mid,5.9,78609.0,Remote,2
282,36,Male,Bachelor,Junior,0.0,69527.0,San Francisco,2
283,33,Male,Master,Entry,0.0,35821.0,Atlanta,5
284,24,Female,Bachelor,Mid,5.6,66541.0,Atlanta,5
285,38,Female,Master,Mid,7.8,84868.0,New York,5
286,43,Female,Bachelor,Mid,4.5,82326.0,Seattle,2
287,29,Female,Bachelor,Senior,7.6,109358.0,San Francisco,7
288,40,Male,Bachelor,Senior,,86936.0,San Francisco,4
289,28,Male,Master,Junior,0.5,55332.0,Austin,5
290,33,Male,Bachelor,Mid,,106759.0,Atlanta,5
291,22,Female,Master,Mid,8.5,82882.0,Seattle,2
292,22,Male,Associate,Senior,6.9,103606.0,Seattle,3
293,39,Male,Bachelor,Senior,10.2,118671.0,Austin,7
294,22,Male,Associate,Junior,1.2,61884.0,San Francisco,4
295,28,Male,PhD,Mid,2.9,70223.0,Chicago,5
296,37,Female,Master,Junior,4.1,,Atlanta,5
297,28,Female,Bachelor,Entry,1.9,52152.0,Los Angeles,5
298,44,Male,PhD,Junior,1.2,39443.0,Austin,2
299,25,Female,Master,Mid,6.3,84579.0,Chicago,3
300,25,Male,Bachelor,Mid,6.7,98724.0,Los Angeles,1
301,46,Male,Master,Senior,12.8,87635.0,Austin,7
302,42,Female,Bachelor,Junior,6.5,64778.0,Atlanta,2
303,32,Female,Bachelor,Entry,0.8,49780.0,Atlanta,6
304,36,Male,Master,Junior,2.9,54820.0,Los Angeles,4
305,22,Male,Master,Junior,0.0,46521.0,Chicago,4
306,22,Female,Associate,Executive,14.5,148572.0,Denver,6
307,36,Male,Bachelor,Mid,6.6,84570.0,Atlanta,3
308,32,Female,Bachelor,Mid,7.2,76324.0,Los Angeles,3
309,36,Female,Master,Mid,10.5,85429.0,Remote,5
310,41,Female,Bachelor,Junior,6.6,63038.0,Remote,3
311,30,Male,Master,Senior,14.4,117751.0,Atlanta,5
312,47,Male,Master,Senior,10.9,115326.0,Seattle,6
313,40,Male,Bachelor,Entry,0.5,46331.0,Los Angeles,5
314,35,Female,Master,Entry,0.0,56413.0,Remote,7
315,28,Male,Bachelor,Entry,0.4,60170.0,Boston,4
316,25,Male,Bachelor,Mid,5.0,77677.0,Chicago,6
317,35,Female,High School,Mid,8.1,74716.0,San Francisco,5
318,37,Male,Bachelor,Executive,13.2,141472.0,Remote,2
319,31,Female,Bachelor,Junior,0.9,74963.0,Austin,7
320,26,Male,PhD,Executive,15.9,131482.0,Denver,1
321,26,Female,Master,Senior,12.1,90304.0,Los Angeles,4
322,30,Male,High School,Entry,0.0,53113.0,Boston,3
323,41,Male,Master,Senior,14.7,101075.0,Atlanta,4
324,31,Female,Bachelor,Junior,0.1,66448.0,Remote,9
325,22,Male,Bachelor,Mid,7.4,62678.0,San Francisco,4
326,33,Male,Master,Entry,0.0,49917.0,Boston,2
327,37,Female,Master,Senior,13.3,84332.0,San Francisco,3
328,25,Female,Associate,Entry,2.8,37336.0,Austin,6
329,28,Male,Master,Entry,6.3,44683.0,Remote,6
330,31,Female,PhD,Junior,1.6,62863.0,New York,5
331,28,Male,Master,Junior,3.9,72599.0,Denver,5
332,22,Female,Bachelor,Junior,2.6,49761.0,Denver,6
333,22,Male,Bachelor,Mid,6.1,60279.0,New York,6
334,25,Male,Bachelor,Entry,0.0,42605.0,New York,7
335,22,Male,PhD,Mid,5.3,82531.0,Chicago,7
336,22,Female,Master,Junior,0.0,85107.0,Chicago,3
337,33,Male,High School,Entry,1.8,42778.0,Denver,7
338,32,Male,Bachelor,Executive,19.5,176969.0,Chicago,2
339,35,Male,Master,Mid,4.8,65381.0,Los Angeles,6
340,42,Male,PhD,Junior,4.0,68992.0,Austin,5
341,31,Male,Bachelor,Senior,9.1,116397.0,Seattle,10
342,47,Female,High School,Junior,1.2,56635.0,San Francisco,4
343,38,Female,PhD,Mid,2.5,74172.0,Atlanta,5
344,31,Male,Master,Junior,5.0,49871.0,Austin,3
345,36,Female,Master,Junior,3.6,57619.0,Los Angeles,6
346,23,Female,Bachelor,Junior,3.2,52075.0,San Francisco,5
347,38,Female,High School,Entry,2.5,56146.0,New York,1
348,31,Female,Master,Mid,6.0,83988.0,Denver,8
349,30,Female,High School,Executive,13.9,137450.0,Atlanta,3
350,33,Male,Bachelor,Senior,11.1,121328.0,Boston,5
351,37,Female,Bachelor,Junior,3.5,64824.0,Atlanta,7
352,28,Female,PhD,Senior,9.4,108016.0,Seattle,3
353,22,Male,PhD,Junior,5.8,63325.0,Austin,6
354,26,Female,Bachelor,Mid,6.5,98478.0,Austin,7
355,38,Female,PhD,Senior,10.3,71897.0,Atlanta,5
356,22,Male,Master,Junior,3.2,59759.0,Seattle,7
357,28,Male,Bachelor,Junior,2.5,72285.0,Remote,2
358,22,Female,Bachelor,Mid,5.5,93338.0,Atlanta,4
359,33,Male,Bachelor,Senior,7.9,108099.0,Remote,3
360,37,Female,Bachelor,Entry,3.7,55777.0,New York,5
361,22,Male,Associate,Executive,13.8,131598.0,Denver,3
362,39,Male,Bachelor,Senior,8.3,112332.0,Atlanta,2
363,32,Female,Master,Entry,0.0,44736.0,New York,5
364,22,Female,Bachelor,Mid,4.9,81950.0,New York,5
365,27,Female,Bachelor,Mid,6.2,88709.0,Denver,10
366,29,Female,Bachelor,Senior,12.1,133004.0,Austin,3
367,29,Male,Bachelor,Junior,,66648.0,San Francisco,6
368,28,Male,High School,Junior,4.0,59248.0,Boston,6
369,32,Female,PhD,Senior,10.0,108656.0,New York,2
370,30,Female,Bachelor,Mid,8.3,60965.0,Austin,4
371,25,Female,Bachelor,Entry,0.0,68526.0,Los Angeles,9
372,33,Male,Bachelor,Junior,2.5,46898.0,Remote,9
373,49,Male,Bachelor,Mid,5.3,77092.0,Atlanta,7
374,28,Female,Associate,Executive,14.9,,Remote,5
375,27,Female,Master,Mid,9.9,76505.0,Austin,1
376,23,Male,Bachelor,Mid,5.7,78041.0,Chicago,4
377,26,Female,Bachelor,Mid,,65642.0,Seattle,4
378,33,Female,Bachelor,Entry,0.7,45746.0,Denver,4
379,46,Male,Master,Junior,3.9,65349.0,Boston,7
380,50,Male,PhD,Junior,1.3,56516.0,Boston,4
381,34,Female,Bachelor,Junior,3.5,41786.0,Atlanta,3
382,22,Female,Master,Senior,9.3,88424.0,Chicago,5
383,27,Male,Master,Entry,0.0,49263.0,Denver,3
384,30,Female,Master,Senior,10.4,110741.0,San Francisco,2
385,38,Male,Master,Junior,2.1,58946.0,Denver,6
386,35,Female,Bachelor,Junior,0.0,61445.0,Seattle,4
387,26,Male,Bachelor,Entry,2.1,54288.0,San Francisco,6
388,33,Female,Associate,Entry,1.3,39283.0,San Francisco,4
389,28,Female,Master,Senior,10.7,95269.0,Seattle,3
390,28,Male,High School,Senior,11.8,112203.0,Denver,6
391,31,Male,Bachelor,Entry,6.1,66566.0,San Francisco,1
392,43,Male,Bachelor,Mid,5.0,85581.0,Remote,4
393,30,Female,Master,Executive,10.7,138719.0,Seattle,2
394,24,Female,PhD,Senior,10.0,107375.0,Remote,4
395,35,Female,Bachelor,Junior,1.4,74132.0,Austin,4
396,34,Male,Master,Junior,3.5,48918.0,New York,7
397,26,Female,Master,Mid,6.1,83310.0,Denver,4
398,24,Male,PhD,Mid,5.6,91088.0,Denver,7
399,22,Female,Bachelor,Junior,10.1,64142.0,Remote,1
400,22,Male,Bachelor,Junior,6.2,52181.0,Boston,5
401,38,Male,Bachelor,Entry,0.0,46491.0,Austin,4
402,35,Female,Associate,Executive,16.2,126584.0,Austin,6
403,41,Female,Associate,Senior,9.8,88526.0,Atlanta,1
404,35,Male,Associate,Mid,4.6,81569.0,Atlanta,3
405,25,Female,Bachelor,Entry,1.7,58304.0,Los Angeles,5
406,43,Male,Master,Junior,3.6,81358.0,Austin,5
407,37,Male,Master,Senior,6.5,82899.0,Atlanta,6
408,26,Male,Bachelor,Entry,1.1,,Remote,9
409,25,Male,Master,Mid,5.2,89948.0,Boston,9
410,24,Female,Bachelor,Senior,11.6,114987.0,Seattle,5
411,22,Male,Master,Junior,7.0,65545.0,Atlanta,5
412,60,Female,Associate,Mid,11.3,70040.0,Boston,4
413,24,Female,Bachelor,Junior,5.5,58000.0,Atlanta,7
414,29,Female,Associate,Executive,15.2,170958.0,Austin,2
415,37,Male,Master,Mid,3.1,63424.0,Seattle,5
416,25,Female,Bachelor,Mid,9.7,76595.0,New York,4
417,40,Female,Bachelor,Junior,2.8,55829.0,Remote,4
418,39,Female,Bachelor,Junior,4.7,60218.0,Atlanta,7
419,26,Male,Bachelor,Entry,0.8,58225.0,Remote,5
420,28,Male,Bachelor,Entry,0.0,63355.0,Boston,6
421,31,Male,Master,Entry,5.5,60055.0,Seattle,4
422,40,Male,PhD,Entry,0.0,41456.0,Seattle,3
423,22,Male,Master,Entry,1.9,68828.0,Los Angeles,9
424,32,Male,Bachelor,Junior,5.8,61829.0,Los Angeles,5
425,22,Male,Bachelor,Junior,8.1,50989.0,Denver,7
426,29,Female,Bachelor,Junior,3.2,65626.0,Chicago,8
427,29,Male,Master,Mid,10.8,79203.0,Boston,4
428,25,Female,PhD,Mid,6.0,94263.0,Remote,5
429,23,Male,Master,Senior,11.2,,Denver,6
430,34,Female,Master,Senior,10.0,113827.0,Denver,4
431,22,Female,Bachelor,Mid,7.5,102920.0,Chicago,6
432,40,Male,Bachelor,Senior,7.4,103680.0,New York,6
433,22,Female,Bachelor,Entry,2.9,53385.0,Los Angeles,4
434,36,Female,Bachelor,Junior,3.3,61055.0,Remote,2
435,37,Male,High School,Junior,3.0,71212.0,New York,5
436,46,Male,Bachelor,Junior,4.3,71069.0,Denver,4
437,40,Female,Master,Mid,5.8,92095.0,Denver,9
438,22,Non-binary,Bachelor,Mid,7.4,84973.0,Atlanta,5
439,30,Female,Bachelor,Mid,6.7,77098.0,Atlanta,7
440,35,Male,Master,Junior,7.6,84560.0,San Francisco,6
441,27,Male,Master,Junior,4.7,60882.0,Los Angeles,6
442,41,Female,PhD,Mid,10.5,87081.0,Seattle,5
443,30,Female,Bachelor,Mid,6.0,79227.0,Chicago,8
444,22,Female,Bachelor,Entry,0.0,56542.0,Remote,3
445,37,Male,PhD,Executive,15.7,114949.0,Remote,2
